VPN,Category,Producer Name,Product Name,Container,FOB,Volume Amount,Volume Unit,Pack Size,Style,ABV,Country,Coupler,UPC/EAN,COLA,Cases per Layer,Cases per Pallet
13178,BEER,Achel,EXTRA Blonde (Trappist-style) 6x750ml,,$55.00 ,750,Ml,6,Super-Trappist!,9.5,Belgium,,5.42501E+12,2.1351E+13,20,120
10005679,BEER,Achel,EXTRA Bruin (Trappist-style) 6x750ml,,$55.00 ,750,Ml,6,Super-Trappist!,9.5,Belgium,,5.42501E+12,,20,120
16971,BEER,Arpus,Mango x Apricot x Almond Smoothie Sour 24x440ml,,$120.00 ,440,Ml,24,,5,Latvia,,,,12,72
16970,BEER,Arpus,Peanut Butter x Vanilla x Coffee Imperial Stout 24x440ml,,$120.00 ,440,Ml,24,,12,Latvia,,,2.334E+13,12,72
16972,BEER,Arpus,Pineapple x Cherry x Strawberry Sour 24x440ml,,$100.00 ,440,Ml,24,,5,Latvia,,,2.3075E+13,12,72
10004298,BEER,Au Baron,Cuvee des Jonquilles 12x750ml,,$75.00 ,750,Ml,12,"Classic saison, dry, hoppy, fruity palate",7,France,,,2.1337E+13,20,120
4284,BEER,Au Baron,/Jester King Noblesse Oblige 20L Dolium Keg,PET,$150.00 ,20,L,1,Delightful biere de garde collab,4.7,France,A-Type,,,20,40
15848,BEER,Blaugies,BDB (Blonde de ) 12x375ml,,$65.00 ,375,Ml,12,Brand-new blonde from the iconic Carlier family!,8,Belgium,,5.41056E+12,,17,102
17079,BEER,Blaugies,Blidegarian Imperial Stout 12x750ml,,$92.50 ,750,Ml,12,Brand-new coffee stout from the iconic Carliers!,9,Belgium,,,,5,55
4097,BEER,Blaugies,Darbyste 12x375ml,,$65.00 ,375,Ml,12,Rustic saison with figs,5.8,Belgium,,5.41056E+12,2.1126E+13,17,102
10005018,BEER,Blaugies,Darbyste 12x750ml,,$87.00 ,750,Ml,12,Rustic saison with figs,5.8,Belgium,,6-08782-66690-4,2.1124E+13,11,55
10003337,BEER,Blaugies,Darbyste 30L KeyKeg,PET,$210.00 ,30,L,1,Rustic saison with figs,5.8,Belgium,KeyKeg,,,12,24
5970,BEER,Blaugies,La Moneuse 12x375ml,,$65.00 ,375,Ml,12,"Earthy, big, rounded saison",8,Belgium,,5.41056E+12,,17,102
10004994,BEER,Blaugies,La Moneuse 12x750ml,,$87.00 ,750,Ml,12,"Earthy, big, rounded saison",8,Belgium,,6-08782-66714-7,2.118E+13,11,55
4063,BEER,Blaugies,La Vermontoise 12x375ml,,$65.00 ,375,Ml,12,Incredible amarillo-hopped spelt saison!,6,Belgium,,5.41056E+12,2.1119E+13,17,102
10003318,BEER,Blaugies,La Vermontoise 30L KeyKeg,PET,$210.00 ,30,L,1,Incredible amarillo-hopped spelt saison!,6,Belgium,KeyKeg,,,12,24
